Age,Attrition,EmployeeNumber,Gender,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus, MonthlyIncome ,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
27,No,497,Male,Travel_Rarely,Research & Development,1,2,Medical,4,3,1,Laboratory Technician,2,Divorced,3816,1,Y,No,11,3,2,5,2,3,5,2,0,4
28,No,498,Male,Travel_Rarely,Sales,9,4,Life Sciences,2,3,2,Sales Executive,4,Single,5253,1,Y,No,16,3,4,7,1,3,7,5,0,7
49,No,499,Male,Travel_Rarely,Research & Development,7,3,Other,2,2,3,Healthcare Representative,3,Single,10965,8,Y,No,24,4,3,26,2,3,5,2,0,0
51,No,500,Female,Travel_Rarely,Sales,14,2,Life Sciences,3,3,2,Sales Executive,4,Married,4936,4,Y,No,11,3,3,18,2,2,7,7,0,7
36,No,501,Female,Travel_Rarely,Research & Development,2,3,Life Sciences,4,3,1,Research Scientist,3,Married,2543,4,Y,No,13,3,2,6,3,3,2,2,2,2
34,Yes,502,Male,Non-Travel,Sales,19,3,Marketing,1,4,2,Sales Executive,4,Single,5304,8,Y,Yes,13,3,2,9,3,2,5,2,0,4
55,No,505,Female,Travel_Rarely,Research & Development,2,3,Life Sciences,3,3,4,Manager,4,Single,16659,2,Y,Yes,13,3,3,30,2,3,5,4,1,2
24,No,507,Female,Travel_Rarely,Sales,10,4,Marketing,4,3,2,Sales Executive,3,Divorced,4260,1,Y,Yes,12,3,4,5,2,4,5,2,0,3
30,No,508,Male,Travel_Rarely,Sales,2,1,Technical Degree,3,3,1,Sales Representative,2,Married,2476,1,Y,No,18,3,1,1,3,3,1,0,0,0
26,Yes,510,Male,Travel_Frequently,Research & Development,3,1,Technical Degree,3,3,1,Research Scientist,1,Single,3102,0,Y,No,22,4,3,7,2,3,6,4,0,4
22,No,511,Female,Travel_Rarely,Research & Development,11,3,Medical,1,3,1,Research Scientist,2,Married,2244,1,Y,No,13,3,4,2,1,3,2,1,1,2
36,No,513,Male,Travel_Rarely,Sales,2,2,Medical,2,2,3,Sales Executive,3,Married,7596,1,Y,No,13,3,2,10,2,3,10,9,9,0
30,Yes,514,Male,Travel_Frequently,Research & Development,4,3,Technical Degree,3,3,1,Research Scientist,4,Single,2285,9,Y,Yes,23,4,3,3,4,3,1,0,0,0
37,No,515,Female,Travel_Rarely,Research & Development,14,3,Life Sciences,4,3,1,Laboratory Technician,1,Divorced,3034,1,Y,No,12,3,3,18,2,2,18,7,12,17
40,No,516,Female,Travel_Rarely,Sales,2,2,Marketing,4,3,2,Sales Executive,2,Divorced,5715,7,Y,No,12,3,3,8,5,3,5,4,1,3
42,No,517,Female,Travel_Rarely,Research & Development,1,4,Life Sciences,2,3,1,Laboratory Technician,1,Divorced,2576,3,Y,No,16,3,2,8,5,3,5,2,1,2
37,No,518,Male,Travel_Rarely,Research & Development,10,4,Life Sciences,3,3,2,Manufacturing Director,2,Single,4197,2,Y,Yes,12,3,4,18,2,2,1,0,0,1
43,No,520,Male,Travel_Rarely,Research & Development,12,3,Life Sciences,1,2,4,Research Director,2,Divorced,14336,1,Y,No,11,3,3,25,3,3,25,10,3,9
40,No,521,Female,Travel_Rarely,Research & Development,2,3,Medical,2,2,2,Laboratory Technician,3,Married,3448,6,Y,No,22,4,2,20,3,3,1,0,0,0
54,No,522,Male,Travel_Rarely,Research & Development,5,2,Medical,1,3,5,Research Director,1,Married,19406,4,Y,No,11,3,3,24,4,2,4,2,1,2
34,No,523,Female,Non-Travel,Sales,4,4,Marketing,3,3,2,Sales Executive,3,Married,6538,9,Y,No,15,3,1,6,3,3,3,2,1,2
31,No,524,Female,Travel_Rarely,Research & Development,7,2,Medical,2,3,2,Manufacturing Director,1,Married,4306,1,Y,No,12,3,2,13,5,1,13,10,3,12
43,No,525,Male,Travel_Frequently,Research & Development,21,3,Medical,4,3,1,Laboratory Technician,4,Married,2258,7,Y,No,20,4,1,8,1,3,3,2,1,2
43,No,526,Female,Travel_Rarely,Research & Development,8,4,Other,3,3,2,Healthcare Representative,3,Divorced,4522,4,Y,Yes,14,3,4,8,3,3,5,2,0,2
25,No,527,Female,Travel_Rarely,Sales,4,2,Life Sciences,2,2,2,Sales Executive,4,Single,4487,1,Y,Yes,11,3,2,5,3,3,5,4,1,3
37,No,529,Female,Non-Travel,Research & Development,25,5,Medical,2,3,2,Research Scientist,3,Married,4449,3,Y,Yes,15,3,1,15,2,3,13,11,10,7
31,No,530,Male,Travel_Rarely,Research & Development,1,2,Life Sciences,4,2,1,Laboratory Technician,1,Married,2218,1,Y,No,12,3,3,4,3,3,4,2,3,2
39,No,531,Male,Travel_Frequently,Research & Development,1,1,Life Sciences,2,3,5,Manager,3,Divorced,19197,1,Y,Yes,14,3,3,21,3,3,21,8,1,6
56,No,532,Female,Travel_Frequently,Sales,6,3,Life Sciences,3,4,4,Sales Executive,1,Married,13212,9,Y,No,11,3,4,36,0,2,7,7,7,7
30,No,533,Female,Travel_Rarely,Sales,12,3,Technical Degree,2,3,2,Sales Executive,3,Single,6577,0,Y,No,11,3,2,6,6,3,5,4,4,4
41,No,534,Male,Travel_Rarely,Sales,1,3,Marketing,2,4,3,Sales Executive,1,Married,8392,1,Y,No,16,3,3,10,2,3,10,7,0,7
28,No,536,Male,Travel_Rarely,Research & Development,17,2,Medical,3,3,2,Laboratory Technician,1,Divorced,4558,1,Y,No,12,3,4,10,2,3,10,0,1,8
25,Yes,538,Male,Travel_Rarely,Research & Development,3,3,Medical,1,3,1,Laboratory Technician,1,Married,4031,5,Y,No,13,3,3,6,5,3,2,2,0,2
52,No,543,Male,Travel_Rarely,Research & Development,3,3,Medical,4,2,3,Manufacturing Director,3,Married,7969,2,Y,Yes,14,3,3,28,4,3,5,4,0,4
45,No,544,Male,Travel_Rarely,Research & Development,10,2,Life Sciences,1,3,1,Research Scientist,4,Married,2654,3,Y,No,21,4,4,8,3,2,2,2,0,2
52,No,546,Female,Travel_Rarely,Research & Development,4,2,Life Sciences,4,3,4,Manager,4,Married,16555,2,Y,No,13,3,4,31,2,1,5,2,1,4
42,No,547,Female,Travel_Frequently,Research & Development,29,2,Life Sciences,1,3,2,Research Scientist,3,Divorced,4556,2,Y,No,11,3,2,19,3,3,5,4,0,2
30,No,548,Female,Travel_Rarely,Research & Development,2,3,Life Sciences,3,1,2,Manufacturing Director,4,Single,6091,2,Y,No,20,4,3,11,2,3,5,4,0,2
60,No,549,Female,Travel_Rarely,Research & Development,7,3,Life Sciences,1,3,5,Manager,1,Married,19566,5,Y,No,11,3,4,33,5,1,29,8,11,10
46,No,550,Female,Travel_Rarely,Research & Development,18,3,Medical,3,3,2,Manufacturing Director,3,Divorced,4810,2,Y,No,14,3,3,19,5,2,10,7,0,8
42,No,551,Female,Travel_Frequently,Research & Development,28,4,Technical Degree,4,2,2,Healthcare Representative,4,Married,4523,0,Y,No,11,3,4,7,4,4,6,5,0,4
24,Yes,554,Female,Travel_Rarely,Sales,1,1,Technical Degree,1,3,1,Sales Representative,2,Single,3202,1,Y,Yes,16,3,2,6,4,3,5,3,1,4
34,Yes,555,Female,Travel_Frequently,Sales,6,2,Marketing,4,1,1,Sales Representative,3,Divorced,2351,0,Y,No,16,3,4,3,3,2,2,2,1,0
38,No,556,Male,Travel_Frequently,Research & Development,2,2,Life Sciences,4,3,1,Laboratory Technician,4,Married,1702,1,Y,Yes,23,4,3,1,3,3,1,0,0,0
40,No,558,Female,Travel_Rarely,Sales,2,4,Life Sciences,3,3,5,Manager,3,Married,18041,0,Y,No,14,3,4,21,2,3,20,15,1,12
26,No,560,Female,Travel_Rarely,Research & Development,23,3,Life Sciences,1,3,1,Research Scientist,4,Divorced,2886,1,Y,No,22,4,2,3,3,1,3,2,0,2
30,No,562,Male,Non-Travel,Research & Development,3,3,Life Sciences,3,3,1,Laboratory Technician,4,Married,2097,4,Y,No,15,3,3,9,3,1,5,3,1,4
29,No,564,Male,Travel_Rarely,Research & Development,3,4,Medical,2,2,3,Research Director,3,Married,11935,1,Y,No,18,3,3,10,2,3,10,2,0,7
29,Yes,565,Female,Travel_Rarely,Research & Development,25,5,Technical Degree,3,2,1,Research Scientist,2,Married,2546,5,Y,No,16,3,2,6,2,4,2,2,1,1
19,Yes,566,Male,Travel_Rarely,Human Resources,2,2,Technical Degree,1,2,1,Human Resources,4,Single,2564,1,Y,No,12,3,3,1,3,4,1,0,0,0
30,No,567,Female,Non-Travel,Sales,22,4,Other,3,3,3,Sales Executive,1,Married,8412,0,Y,No,11,3,3,10,3,3,9,8,7,8
57,No,568,Male,Travel_Rarely,Sales,29,3,Marketing,1,2,4,Manager,4,Divorced,14118,3,Y,No,12,3,3,32,3,2,1,0,0,0
50,No,569,Male,Travel_Rarely,Research & Development,29,4,Life Sciences,2,2,4,Manager,3,Married,17046,0,Y,No,15,3,2,28,2,3,27,10,15,7
30,No,571,Female,Non-Travel,Research & Development,2,3,Medical,3,3,1,Laboratory Technician,4,Single,2564,0,Y,No,14,3,3,12,2,2,11,7,6,7
60,No,573,Female,Travel_Frequently,Sales,28,3,Marketing,3,2,3,Sales Executive,1,Married,10266,4,Y,No,19,3,4,22,5,4,18,13,13,11
47,No,574,Female,Travel_Rarely,Research & Development,2,2,Medical,1,3,2,Manufacturing Director,4,Divorced,5070,5,Y,No,13,3,3,20,2,3,5,0,0,4
46,No,575,Male,Travel_Rarely,Research & Development,2,3,Life Sciences,1,3,4,Research Director,3,Married,17861,6,Y,No,13,3,3,26,2,1,3,2,0,1
35,No,577,Male,Travel_Rarely,Research & Development,22,3,Life Sciences,4,1,1,Laboratory Technician,3,Single,4230,0,Y,No,15,3,3,6,2,3,5,4,4,3
54,No,578,Female,Travel_Rarely,Research & Development,8,4,Life Sciences,3,3,2,Laboratory Technician,3,Single,3780,7,Y,No,11,3,3,19,3,3,1,0,0,0
34,No,579,Male,Travel_Rarely,Research & Development,2,4,Life Sciences,4,2,1,Research Scientist,3,Divorced,2768,3,Y,No,12,3,3,14,3,3,7,3,5,7
46,No,580,Female,Travel_Rarely,Sales,10,3,Marketing,3,2,3,Sales Executive,4,Married,9071,2,Y,Yes,19,3,3,15,3,3,3,2,1,2
31,No,581,Male,Travel_Rarely,Research & Development,9,1,Life Sciences,3,3,3,Manufacturing Director,2,Divorced,10648,1,Y,No,25,4,4,13,6,4,13,8,0,8
33,Yes,582,Male,Travel_Rarely,Research & Development,15,1,Medical,2,3,3,Manager,3,Married,13610,7,Y,Yes,12,3,4,15,2,4,7,6,7,7
33,Yes,584,Male,Travel_Rarely,Research & Development,10,1,Medical,1,1,1,Laboratory Technician,4,Divorced,3408,7,Y,No,13,3,1,8,2,3,4,3,1,3
30,No,585,Male,Travel_Rarely,Sales,7,1,Marketing,4,3,1,Sales Representative,2,Single,2983,0,Y,No,14,3,1,4,3,3,3,2,1,2
35,No,586,Male,Travel_Rarely,Research & Development,16,3,Life Sciences,4,3,3,Healthcare Representative,3,Married,7632,4,Y,Yes,12,3,3,10,2,3,8,7,0,0
31,Yes,587,Male,Travel_Frequently,Research & Development,20,3,Life Sciences,1,3,3,Healthcare Representative,3,Married,9824,3,Y,No,12,3,1,12,2,3,1,0,0,0
34,Yes,590,Female,Travel_Frequently,Human Resources,23,3,Human Resources,2,3,3,Human Resources,1,Divorced,9950,9,Y,Yes,15,3,3,11,2,3,3,2,0,2
42,No,591,Male,Travel_Frequently,Research & Development,5,2,Other,2,3,1,Laboratory Technician,3,Married,2093,4,Y,No,17,3,4,8,4,3,2,2,2,0
36,No,592,Male,Non-Travel,Sales,10,4,Medical,2,3,3,Sales Executive,4,Single,9980,1,Y,No,14,3,4,10,3,2,10,3,9,7
22,Yes,593,Male,Travel_Frequently,Research & Development,4,1,Technical Degree,3,2,1,Laboratory Technician,3,Single,3894,5,Y,No,16,3,3,4,3,3,2,2,1,2
48,No,595,Female,Travel_Rarely,Sales,2,5,Marketing,2,3,2,Sales Executive,4,Married,4051,2,Y,No,14,3,1,14,2,3,9,7,6,7
55,No,597,Female,Travel_Rarely,Sales,18,5,Life Sciences,1,3,4,Manager,2,Single,16835,3,Y,No,23,4,4,37,2,3,10,9,7,7
41,No,599,Male,Non-Travel,Sales,10,2,Life Sciences,4,3,2,Sales Executive,4,Single,6230,7,Y,No,14,3,4,16,3,3,14,3,1,10
35,No,600,Male,Travel_Rarely,Sales,1,3,Marketing,2,3,2,Sales Executive,3,Married,4717,9,Y,No,11,3,3,15,2,3,11,9,6,9
40,No,601,Female,Travel_Rarely,Research & Development,6,3,Life Sciences,2,3,4,Manufacturing Director,3,Single,13237,7,Y,No,15,3,3,22,3,3,20,6,5,13
39,No,602,Female,Travel_Frequently,Research & Development,8,1,Life Sciences,3,3,1,Laboratory Technician,3,Married,3755,1,Y,No,11,3,1,8,3,3,8,3,0,7
31,No,604,Male,Travel_Rarely,Sales,2,1,Life Sciences,2,3,2,Sales Executive,4,Single,6582,4,Y,Yes,13,3,3,10,2,4,6,5,0,5
42,No,605,Male,Travel_Rarely,Research & Development,24,3,Medical,4,3,3,Manufacturing Director,1,Married,7406,1,Y,Yes,21,4,4,10,5,2,10,9,5,8
45,No,606,Male,Travel_Rarely,Sales,2,3,Other,4,3,2,Sales Executive,2,Married,4805,0,Y,No,19,3,2,9,3,4,8,7,3,7
26,Yes,608,Female,Travel_Frequently,Human Resources,17,4,Life Sciences,2,3,1,Human Resources,3,Divorced,2741,0,Y,Yes,11,3,2,8,2,2,7,7,1,0
29,No,611,Male,Travel_Rarely,Research & Development,19,3,Technical Degree,4,3,2,Manufacturing Director,4,Divorced,4262,4,Y,No,12,3,2,8,2,4,3,2,1,2
33,No,612,Female,Travel_Rarely,Research & Development,1,5,Medical,1,4,4,Research Director,3,Divorced,16184,4,Y,No,19,3,3,10,2,3,6,1,0,5
31,No,613,Male,Travel_Rarely,Sales,7,3,Life Sciences,3,2,3,Manager,4,Divorced,11557,9,Y,No,21,4,3,10,3,2,5,4,0,1
18,Yes,614,Male,Travel_Frequently,Sales,5,3,Marketing,2,3,1,Sales Representative,2,Single,1878,1,Y,Yes,14,3,4,0,3,3,0,0,0,0
40,No,615,Male,Non-Travel,Sales,28,3,Other,3,1,3,Sales Executive,1,Divorced,10932,3,Y,No,15,3,3,20,2,3,1,0,0,1
41,No,616,Female,Non-Travel,Research & Development,2,4,Other,1,2,2,Healthcare Representative,3,Single,6811,2,Y,Yes,17,3,1,10,3,3,8,7,0,7
26,No,618,Male,Travel_Rarely,Sales,29,2,Medical,1,3,2,Sales Executive,3,Divorced,4306,5,Y,No,12,3,1,8,5,3,0,0,0,0
35,No,620,Female,Travel_Rarely,Sales,1,3,Medical,1,3,2,Sales Executive,3,Single,4859,1,Y,No,16,3,4,5,3,3,5,4,0,3
34,No,621,Male,Travel_Rarely,Sales,21,4,Life Sciences,4,4,2,Sales Executive,4,Single,5337,1,Y,No,12,3,4,10,3,3,10,7,5,7
26,Yes,622,Male,Travel_Rarely,Research & Development,24,3,Technical Degree,3,1,1,Laboratory Technician,4,Single,2340,1,Y,Yes,18,3,2,1,3,1,1,0,0,0
37,No,623,Female,Travel_Rarely,Research & Development,1,3,Technical Degree,2,3,3,Manufacturing Director,4,Single,7491,4,Y,No,17,3,4,12,3,4,6,5,1,2
46,No,624,Female,Travel_Frequently,Research & Development,18,1,Medical,1,3,3,Healthcare Representative,3,Married,10527,5,Y,No,11,3,4,28,3,2,2,2,1,2
41,No,625,Female,Travel_Rarely,Sales,2,5,Life Sciences,2,3,4,Manager,1,Married,16595,7,Y,No,16,3,2,22,2,3,18,16,11,8
37,No,626,Male,Non-Travel,Sales,9,4,Medical,1,3,3,Sales Executive,2,Divorced,8834,1,Y,No,13,3,4,9,6,3,9,5,7,7
52,No,630,Male,Travel_Rarely,Research & Development,6,2,Technical Degree,4,3,2,Research Scientist,1,Divorced,5577,3,Y,Yes,12,3,2,18,3,3,10,9,6,9
32,Yes,631,Male,Non-Travel,Sales,11,4,Other,4,4,2,Sales Executive,3,Married,4707,8,Y,No,12,3,4,6,2,3,4,2,1,2
24,No,632,Male,Travel_Frequently,Sales,24,3,Medical,4,3,1,Sales Representative,4,Married,2400,0,Y,No,13,3,3,3,3,3,2,2,2,1
38,No,634,Female,Travel_Rarely,Research & Development,10,3,Medical,3,3,2,Healthcare Representative,3,Married,9824,3,Y,No,19,3,3,18,4,3,1,0,0,0
37,No,635,Female,Travel_Rarely,Research & Development,1,4,Life Sciences,2,3,2,Manufacturing Director,2,Married,6447,6,Y,No,12,3,2,8,2,2,6,5,4,3
49,No,638,Male,Travel_Rarely,Research & Development,18,4,Life Sciences,4,2,5,Research Director,3,Divorced,19502,1,Y,Yes,17,3,3,31,5,3,31,9,0,9
24,No,639,Male,Travel_Rarely,Research & Development,23,3,Medical,2,4,1,Research Scientist,4,Married,2725,1,Y,Yes,11,3,2,6,3,3,6,5,1,4
26,No,641,Male,Travel_Rarely,Sales,28,2,Marketing,1,3,2,Sales Executive,2,Married,6272,1,Y,No,20,4,4,6,5,4,5,3,1,4
24,No,643,Male,Travel_Rarely,Research & Development,17,2,Other,4,2,1,Laboratory Technician,2,Married,2127,1,Y,No,21,4,4,1,2,3,1,0,0,0
50,No,644,Male,Travel_Frequently,Human Resources,3,3,Medical,1,3,5,Manager,2,Married,18200,1,Y,No,11,3,3,32,2,3,32,5,10,7
25,No,645,Male,Travel_Rarely,Sales,13,1,Medical,2,3,1,Sales Representative,3,Married,2096,1,Y,No,11,3,3,7,1,3,7,4,0,6
24,Yes,647,Female,Travel_Frequently,Research & Development,7,3,Life Sciences,1,3,1,Laboratory Technician,3,Married,2886,1,Y,Yes,16,3,4,6,4,3,6,3,1,2
30,Yes,648,Male,Travel_Frequently,Sales,12,4,Life Sciences,2,2,1,Sales Representative,1,Married,2033,1,Y,No,18,3,3,1,2,4,1,0,0,0
34,No,649,Male,Travel_Rarely,Research & Development,1,2,Life Sciences,2,2,1,Research Scientist,4,Married,3622,1,Y,Yes,13,3,4,6,3,3,6,5,1,3
31,Yes,650,Male,Travel_Rarely,Sales,13,4,Medical,2,3,2,Sales Executive,1,Divorced,4233,2,Y,No,17,3,3,9,2,1,3,1,1,2
35,No,652,Male,Travel_Rarely,Research & Development,25,2,Other,1,2,2,Laboratory Technician,4,Single,3681,4,Y,No,14,3,4,9,3,3,3,2,0,2
31,No,653,Male,Travel_Rarely,Sales,6,4,Medical,1,4,2,Sales Executive,4,Divorced,5460,4,Y,No,22,4,4,13,4,4,7,7,5,7
27,No,655,Female,Travel_Rarely,Research & Development,6,4,Medical,1,2,1,Research Scientist,3,Divorced,2187,0,Y,No,12,3,3,6,5,2,5,3,0,3
37,No,656,Male,Travel_Rarely,Sales,2,3,Marketing,4,3,2,Sales Executive,3,Married,9602,4,Y,Yes,11,3,3,17,3,2,3,0,1,0
20,No,657,Female,Travel_Rarely,Research & Development,1,3,Life Sciences,4,2,1,Research Scientist,2,Single,2836,1,Y,No,13,3,4,1,0,4,1,0,0,0
42,No,659,Female,Travel_Rarely,Research & Development,2,4,Life Sciences,3,3,2,Healthcare Representative,4,Married,4089,1,Y,No,13,3,2,10,4,3,10,2,2,2
43,No,661,Male,Travel_Rarely,Research & Development,6,4,Other,2,2,4,Research Director,4,Divorced,16627,4,Y,Yes,14,3,3,21,3,2,1,0,0,0
38,No,662,Female,Travel_Rarely,Research & Development,1,1,Life Sciences,3,3,1,Research Scientist,1,Single,2619,3,Y,No,17,3,4,8,3,2,0,0,0,0
43,No,663,Male,Travel_Frequently,Research & Development,9,5,Medical,4,3,2,Laboratory Technician,3,Divorced,5679,3,Y,Yes,13,3,2,10,3,3,8,7,4,7
48,No,664,Female,Travel_Rarely,Research & Development,1,4,Life Sciences,4,2,4,Manager,1,Married,15402,7,Y,No,11,3,1,21,3,1,3,2,0,2
44,No,665,Female,Travel_Rarely,Human Resources,1,4,Life Sciences,1,2,2,Human Resources,3,Single,5985,4,Y,No,11,3,2,10,1,4,2,2,0,2
34,No,666,Female,Travel_Rarely,Sales,14,3,Technical Degree,3,3,1,Sales Representative,3,Divorced,2579,1,Y,Yes,18,3,4,8,3,3,8,2,0,6
27,Yes,667,Male,Travel_Rarely,Sales,2,1,Marketing,3,3,1,Sales Representative,1,Divorced,3041,0,Y,No,11,3,2,5,3,3,4,3,0,2
21,No,669,Male,Travel_Rarely,Sales,22,1,Technical Degree,3,3,1,Sales Representative,3,Single,3447,1,Y,No,11,3,3,3,2,3,3,2,1,2
44,No,671,Male,Travel_Rarely,Research & Development,3,4,Other,4,3,5,Manager,4,Married,19513,4,Y,Yes,12,3,1,26,2,4,2,2,0,1
22,No,675,Male,Travel_Rarely,Research & Development,6,1,Medical,1,3,1,Research Scientist,3,Married,2773,0,Y,No,20,4,4,3,3,3,2,2,2,2
33,No,677,Male,Travel_Rarely,Sales,8,4,Marketing,3,3,2,Sales Executive,3,Divorced,7104,0,Y,No,12,3,4,6,3,3,5,0,1,2
32,No,679,Female,Travel_Rarely,Research & Development,9,4,Life Sciences,1,3,2,Research Scientist,4,Married,6322,1,Y,Yes,12,3,4,6,2,2,6,4,0,5
30,No,680,Female,Travel_Frequently,Research & Development,3,3,Medical,3,3,1,Research Scientist,3,Divorced,2083,1,Y,No,20,4,3,1,2,3,1,0,0,0
53,No,682,Female,Travel_Rarely,Sales,1,1,Medical,4,3,2,Sales Executive,1,Single,8381,7,Y,No,20,4,4,18,2,4,14,7,8,10
34,No,683,Male,Travel_Rarely,Research & Development,1,5,Life Sciences,2,3,1,Research Scientist,4,Married,2691,1,Y,No,12,3,4,10,4,2,10,9,8,8
45,Yes,684,Female,Travel_Frequently,Sales,26,4,Life Sciences,1,3,2,Sales Executive,1,Married,4286,2,Y,No,14,3,4,5,4,3,1,1,0,0
26,No,686,Female,Travel_Rarely,Research & Development,6,3,Life Sciences,3,3,1,Laboratory Technician,4,Married,2659,1,Y,Yes,13,3,3,3,2,3,3,2,0,2
37,No,689,Male,Travel_Rarely,Research & Development,3,3,Other,3,3,3,Manufacturing Director,3,Married,9434,1,Y,No,15,3,3,10,2,3,10,7,7,8
29,No,690,Female,Travel_Rarely,Sales,3,2,Medical,2,3,2,Sales Executive,3,Married,5561,1,Y,No,14,3,1,6,5,2,6,0,1,2
35,No,691,Male,Travel_Rarely,Research & Development,6,4,Life Sciences,2,1,2,Research Scientist,4,Single,6646,1,Y,No,13,3,2,17,3,3,17,11,11,8
33,No,692,Male,Travel_Frequently,Research & Development,6,3,Life Sciences,3,3,2,Healthcare Representative,4,Divorced,7725,3,Y,No,23,4,3,15,2,1,13,11,4,7
54,No,698,Male,Travel_Rarely,Human Resources,19,4,Medical,3,3,3,Human Resources,2,Married,10725,2,Y,No,15,3,3,16,1,4,9,7,7,1
36,No,699,Male,Travel_Rarely,Research & Development,9,2,Medical,2,2,2,Manufacturing Director,2,Divorced,8847,2,Y,Yes,11,3,3,13,2,3,3,2,0,2
27,No,700,Male,Travel_Rarely,Research & Development,3,4,Medical,1,2,1,Research Scientist,4,Single,2045,0,Y,No,13,3,4,5,0,3,4,2,1,1
20,Yes,701,Male,Travel_Rarely,Research & Development,10,1,Medical,4,3,1,Research Scientist,3,Single,1009,1,Y,Yes,11,3,4,1,5,3,1,0,1,1
33,Yes,702,Male,Travel_Frequently,Research & Development,3,3,Life Sciences,1,3,1,Research Scientist,1,Single,3348,1,Y,Yes,11,3,1,10,3,3,10,8,9,7
35,No,704,Male,Non-Travel,Research & Development,3,3,Life Sciences,3,2,1,Laboratory Technician,3,Married,1281,1,Y,No,18,3,3,1,3,3,1,0,0,0
23,No,705,Male,Travel_Rarely,Research & Development,4,3,Medical,1,4,1,Research Scientist,1,Married,2819,2,Y,No,16,3,1,5,3,4,3,2,0,2
25,No,707,Male,Travel_Rarely,Sales,8,3,Life Sciences,4,4,2,Sales Executive,2,Married,4851,0,Y,No,22,4,3,4,4,3,3,2,1,2
38,No,709,Female,Travel_Rarely,Sales,7,4,Marketing,4,2,2,Sales Executive,4,Single,4028,0,Y,No,20,4,1,8,2,3,7,7,0,5
29,No,710,Male,Travel_Frequently,Research & Development,1,4,Life Sciences,2,1,1,Research Scientist,4,Divorced,2720,1,Y,No,18,3,4,10,5,3,10,7,2,8
48,No,712,Male,Travel_Rarely,Sales,2,1,Marketing,2,4,2,Sales Executive,2,Married,8120,3,Y,No,12,3,4,12,3,3,2,2,2,2
27,No,714,Female,Travel_Frequently,Sales,3,1,Medical,4,4,2,Sales Executive,4,Divorced,4647,1,Y,Yes,20,4,2,6,3,3,6,5,0,4
37,No,715,Male,Travel_Rarely,Research & Development,10,2,Life Sciences,4,4,1,Research Scientist,4,Single,4680,3,Y,No,17,3,1,4,2,3,1,0,0,0
50,No,716,Male,Travel_Rarely,Research & Development,28,1,Medical,4,4,1,Laboratory Technician,3,Married,3221,1,Y,Yes,11,3,3,20,3,3,20,8,3,8
34,No,717,Female,Travel_Rarely,Research & Development,9,3,Medical,4,2,3,Healthcare Representative,2,Single,8621,1,Y,No,14,3,2,9,3,4,8,7,7,7
24,Yes,720,Female,Travel_Rarely,Sales,3,2,Life Sciences,1,3,2,Sales Executive,3,Single,4577,9,Y,No,14,3,1,4,3,3,2,2,2,0
39,No,721,Female,Travel_Rarely,Research & Development,2,4,Technical Degree,4,2,2,Healthcare Representative,3,Single,4553,1,Y,No,11,3,1,20,4,3,20,7,11,10
32,No,722,Male,Travel_Rarely,Sales,10,3,Marketing,4,3,2,Sales Executive,4,Single,5396,1,Y,No,12,3,4,10,2,2,10,7,0,8
50,Yes,723,Male,Travel_Frequently,Sales,8,2,Technical Degree,2,3,2,Sales Executive,3,Married,6796,3,Y,Yes,14,3,1,18,4,3,4,3,1,3
38,No,724,Female,Travel_Rarely,Research & Development,1,4,Life Sciences,2,4,2,Healthcare Representative,4,Single,7625,0,Y,No,13,3,3,10,4,2,9,7,1,8
27,No,725,Female,Travel_Rarely,Research & Development,1,2,Life Sciences,3,3,3,Manufacturing Director,1,Married,7412,1,Y,No,11,3,4,9,3,3,9,7,0,7
32,No,727,Female,Travel_Rarely,Research & Development,3,2,Life Sciences,3,3,3,Research Director,4,Single,11159,3,Y,No,15,3,4,10,6,3,7,7,7,7
47,No,728,Male,Travel_Rarely,Sales,14,4,Marketing,4,3,2,Sales Executive,1,Single,4960,2,Y,No,12,3,4,20,2,3,7,7,1,7
40,No,729,Male,Travel_Frequently,Sales,5,4,Life Sciences,4,2,3,Sales Executive,1,Married,10475,5,Y,Yes,21,4,3,20,2,3,18,13,1,12
53,No,730,Male,Travel_Rarely,Research & Development,7,3,Life Sciences,3,4,4,Research Director,3,Married,14814,3,Y,No,19,3,3,32,3,3,5,1,1,3
41,No,731,Male,Travel_Rarely,Human Resources,10,4,Human Resources,2,2,5,Manager,4,Divorced,19141,3,Y,No,15,3,2,23,2,2,21,6,12,6
60,No,732,Male,Travel_Rarely,Sales,16,4,Marketing,1,3,2,Sales Executive,1,Single,5405,8,Y,No,14,3,4,10,1,3,2,2,2,2
27,No,733,Male,Travel_Frequently,Research & Development,10,2,Life Sciences,4,3,3,Manufacturing Director,1,Divorced,8793,1,Y,No,21,4,3,9,4,2,9,7,1,7
41,No,734,Male,Travel_Rarely,Human Resources,1,3,Human Resources,4,2,5,Manager,3,Married,19189,1,Y,No,12,3,2,22,3,3,22,7,2,10
50,No,738,Male,Travel_Rarely,Sales,8,4,Marketing,4,3,1,Sales Representative,2,Married,3875,7,Y,No,15,3,4,4,2,3,2,2,2,2
